domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,13,93439,13595
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,15,894,113
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,15,1005,131
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,19,399,50
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,18,347,44
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,18,369,47
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,18,370,47
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,18,431,55
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",9,18,446,57
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",10,18,462,59
Pancake,10,1,"7.0, 8.0, 2.0, 0.0, 4.0, 9.0, 1.0, 6.0, 5.0, 3.0, ","9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",11,18,470,60
