domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,10,2640,467
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,10,1017,178
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,17,546,94
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,17,467,80
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,17,469,81
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,17,527,91
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,17,585,102
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,17,596,104
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",9,17,633,111
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",10,17,638,112
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",11,17,650,114
Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",12,17,653,115
