domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,13,212729,26270
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,17,26040,3029
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,17,14973,1743
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,27,10231,1206
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,24,2196,251
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,24,3301,379
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,24,5133,593
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,34,7309,861
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",9,34,7529,899
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",10,34,7805,937
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",11,47,8349,1019
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",12,47,9087,1123
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",13,47,9568,1187
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",14,47,10012,1244
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",15,40,10106,1258
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",16,47,10553,1312
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",17,47,10879,1351
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",18,47,11039,1371
Pancake,11,1,"6.0, 0.0, 8.0, 2.0, 1.0, 5.0, 3.0, 4.0, 9.0, 7.0, 10.0, ","10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",19,47,11209,1393
