domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,14,469871,50766
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,16,35505,3724
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,23,119647,13394
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,30,141224,16095
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,30,36657,4027
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,33,52510,5787
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,31,92668,10438
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,31,92797,10546
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",9,31,102003,11747
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",10,33,24735,2989
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",11,31,167136,19741
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",12,34,118427,13938
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",13,33,32960,4116
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",14,33,35083,4388
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",15,37,36053,4511
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",16,33,36907,4614
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",17,33,37614,4697
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",18,35,37289,4664
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",19,33,38617,4815
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",20,33,39291,4892
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",21,33,39861,4961
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",22,33,40822,5076
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",23,33,41574,5170
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",24,33,42121,5240
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",25,33,42528,5295
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",26,33,42751,5324
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",27,33,42933,5348
Pancake,12,1,"5.0, 3.0, 2.0, 1.0, 7.0, 10.0, 0.0, 6.0, 4.0, 11.0, 8.0, 9.0, ","11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",28,33,43110,5370
