domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.0,15,14533,1232
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.05,15,14533,1232
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.1,15,7674,649
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.1500000000000001,15,3619,305
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.2000000000000002,15,504,42
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.2500000000000002,15,349,29
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.3000000000000003,15,349,29
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.3500000000000003,16,7537,638
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.4000000000000004,16,3713,314
Pancake,14,1,"1.0, 10.0, 11.0, 4.0, 8.0, 12.0, 6.0, 3.0, 5.0, 7.0, 0.0, 2.0, 9.0, 13.0, ","13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.4500000000000004,16,3782,319
