,expanded_avg,generated_avg,sol_size_avg
0,1008.1733333333333,10530.393333333333,12.02
1,1008.1733333333333,10530.393333333333,12.02
2,913.8733333333333,9468.22,12.02
3,646.24,6535.68,12.04
4,361.52666666666664,3666.0333333333333,12.113333333333333
5,285.76,2906.1066666666666,12.193333333333333
6,246.56,2483.6266666666666,12.253333333333334
7,146.88,1467.18,12.393333333333333
8,124.92,1244.8333333333333,12.426666666666666
9,122.34666666666666,1215.0,12.453333333333333
10,69.30666666666667,707.0,12.706666666666667
11,69.30666666666667,707.0,12.706666666666667
12,56.906666666666666,573.7933333333333,12.773333333333333
13,56.906666666666666,573.7933333333333,12.773333333333333
14,45.78,458.12,12.84
15,42.13333333333333,429.44,12.913333333333334
16,35.5,361.12666666666667,12.96
17,34.166666666666664,346.73333333333335,12.98
18,34.166666666666664,346.73333333333335,12.98
19,34.166666666666664,346.73333333333335,12.98
20,21.46,218.32,13.273333333333333
