domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",1,8,5691,2156
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",2,8,1441,339
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",3,8,777,159
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",4,8,223,37
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",5,8,223,37
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",6,8,200,32
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",7,8,200,32
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",8,8,319,54
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",9,8,319,54
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",10,8,411,69
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",11,8,411,69
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",12,14,404,70
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",13,14,404,70
topSpin,8,1,"0.0, 6.0, 4.0, 1.0, 3.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",14,14,395,69
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",1,11,25967,15139
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",2,11,12980,4489
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",3,11,8545,2477
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",4,11,3611,773
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",5,11,3625,749
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",6,11,2120,417
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",7,11,2161,423
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",8,13,1416,258
topSpin,8,2,"2.0, 1.0, 5.0, 6.0, 3.0, 0.0, 7.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",9,13,1362,242
