domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,7,130978,33552
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,7,116168,24774
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,7,100567,19784
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,7,41956,6259
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,7,41656,6211
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,7,63449,10037
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",7,7,45596,6839
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",8,7,35022,4981
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",9,7,35022,4981
topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",10,7,26036,3598
