domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,8,2841,1438
topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,8,1323,417
topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,8,979,269
topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,8,1297,329
topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,10,1496,380
topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,10,733,177
topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",7,10,696,162
topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",8,10,367,79
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,9,3987,2489
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,9,2277,771
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,9,1627,461
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,9,783,173
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,9,782,172
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,11,1036,239
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",7,11,856,191
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",8,11,791,180
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",9,11,791,180
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",10,11,759,169
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",11,11,759,169
topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",12,11,752,167
topSpin,7,3,"2.0, 5.0, 3.0, 4.0, 1.0, 6.0, 0.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,6,800,288
topSpin,7,3,"2.0, 5.0, 3.0, 4.0, 1.0, 6.0, 0.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,6,246,57
topSpin,7,3,"2.0, 5.0, 3.0, 4.0, 1.0, 6.0, 0.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,6,205,43
topSpin,7,3,"2.0, 5.0, 3.0, 4.0, 1.0, 6.0, 0.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,6,47,8
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,8,2833,1432
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,8,1256,357
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,8,840,203
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,8,888,196
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,8,884,193
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,10,559,117
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",7,10,559,117
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",8,10,359,70
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",9,10,359,70
topSpin,7,4,"3.0, 5.0, 2.0, 0.0, 4.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",10,10,352,68
topSpin,7,5,"2.0, 3.0, 4.0, 0.0, 5.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,7,1657,699
topSpin,7,5,"2.0, 3.0, 4.0, 0.0, 5.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,7,660,181
topSpin,7,5,"2.0, 3.0, 4.0, 0.0, 5.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,7,549,131
topSpin,7,5,"2.0, 3.0, 4.0, 0.0, 5.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,7,262,57
topSpin,7,5,"2.0, 3.0, 4.0, 0.0, 5.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,7,255,54
topSpin,7,5,"2.0, 3.0, 4.0, 0.0, 5.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,7,132,28
topSpin,7,5,"2.0, 3.0, 4.0, 0.0, 5.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",7,7,132,28
topSpin,7,5,"2.0, 3.0, 4.0, 0.0, 5.0, 1.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",8,7,118,23
topSpin,7,6,"0.0, 4.0, 1.0, 3.0, 6.0, 2.0, 5.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,6,800,290
topSpin,7,6,"0.0, 4.0, 1.0, 3.0, 6.0, 2.0, 5.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,6,259,65
topSpin,7,6,"0.0, 4.0, 1.0, 3.0, 6.0, 2.0, 5.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,6,224,51
topSpin,7,6,"0.0, 4.0, 1.0, 3.0, 6.0, 2.0, 5.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,6,67,12
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,9,3986,2528
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,9,2295,754
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,9,1465,406
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,9,723,153
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,9,716,151
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,9,381,78
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",7,9,381,78
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",8,9,422,88
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",9,9,422,88
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",10,9,628,135
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",11,9,628,135
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",12,13,620,137
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",13,13,620,137
topSpin,7,7,"0.0, 5.0, 4.0, 6.0, 3.0, 2.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",14,13,610,135
topSpin,7,8,"5.0, 2.0, 3.0, 6.0, 0.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,7,1665,703
topSpin,7,8,"5.0, 2.0, 3.0, 6.0, 0.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,7,574,149
topSpin,7,8,"5.0, 2.0, 3.0, 6.0, 0.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,7,446,104
topSpin,7,8,"5.0, 2.0, 3.0, 6.0, 0.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,7,174,35
topSpin,7,8,"5.0, 2.0, 3.0, 6.0, 0.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,7,165,33
topSpin,7,8,"5.0, 2.0, 3.0, 6.0, 0.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,7,148,29
topSpin,7,9,"1.0, 3.0, 4.0, 5.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,7,1656,693
topSpin,7,9,"1.0, 3.0, 4.0, 5.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,7,655,181
topSpin,7,9,"1.0, 3.0, 4.0, 5.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,7,530,129
topSpin,7,9,"1.0, 3.0, 4.0, 5.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,7,275,58
topSpin,7,9,"1.0, 3.0, 4.0, 5.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,7,273,57
topSpin,7,9,"1.0, 3.0, 4.0, 5.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,7,193,38
topSpin,7,10,"1.0, 6.0, 3.0, 2.0, 4.0, 5.0, 0.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,3,39,8
topSpin,7,10,"1.0, 6.0, 3.0, 2.0, 4.0, 5.0, 0.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,3,29,5
topSpin,7,11,"3.0, 1.0, 4.0, 2.0, 5.0, 6.0, 0.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,5,363,114
