domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,12,139957,82746
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,12,112862,50337
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,12,80353,27695
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,12,78005,25686
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,12,62562,18002
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,14,109284,28051
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",7,14,105299,26827
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",8,12,75063,17777
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",9,14,48034,10627
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",10,14,47823,10563
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",11,14,40459,8764
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",12,14,28168,5760
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",13,14,28168,5760
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",14,14,27382,5564
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",15,14,21646,4208
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",16,14,21646,4208
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",17,14,26932,5317
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",18,16,15664,2893
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",19,16,15664,2893
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",20,16,13003,2272
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",21,16,9188,1551
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",22,16,9188,1551
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",23,16,9188,1551
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",24,16,9310,1570
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",25,16,9310,1570
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",26,16,9310,1570
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",27,16,8492,1416
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",28,16,8492,1416
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",29,16,8492,1416
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",30,16,8613,1430
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",31,16,8613,1430
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",32,16,8613,1430
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",33,20,6092,1006
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",34,20,6092,1006
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",35,20,6092,1006
topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",36,20,4258,699
topSpin,9,2,"7.0, 1.0, 3.0, 6.0, 0.0, 5.0, 8.0, 2.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,10,50941,24422
topSpin,9,2,"7.0, 1.0, 3.0, 6.0, 0.0, 5.0, 8.0, 2.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,10,38059,13455
topSpin,9,2,"7.0, 1.0, 3.0, 6.0, 0.0, 5.0, 8.0, 2.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,10,23255,6317
topSpin,9,2,"7.0, 1.0, 3.0, 6.0, 0.0, 5.0, 8.0, 2.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,10,21502,5682
topSpin,9,2,"7.0, 1.0, 3.0, 6.0, 0.0, 5.0, 8.0, 2.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,10,15702,3792
topSpin,9,2,"7.0, 1.0, 3.0, 6.0, 0.0, 5.0, 8.0, 2.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,10,6262,1267
topSpin,9,2,"7.0, 1.0, 3.0, 6.0, 0.0, 5.0, 8.0, 2.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",7,10,6196,1247
topSpin,9,2,"7.0, 1.0, 3.0, 6.0, 0.0, 5.0, 8.0, 2.0, 4.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",8,10,5399,1039
