domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
topSpin,9,1,"0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 6.0, 4.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,4,242,51
topSpin,9,1,"0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 6.0, 4.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,4,60,8
topSpin,9,1,"0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 6.0, 4.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,4,60,8
topSpin,9,1,"0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 6.0, 4.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,4,47,6
topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,13,168956,94265
topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,13,72581,24672
topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,13,64875,18302
topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,15,58037,13106
topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,15,32423,6504
topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,15,15625,2786
