,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,Pancake,9,1,"3.0, 0.0, 2.0, 6.0, 5.0, 4.0, 7.0, 8.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,8,4739,719,1.0,1.0
1,Pancake,9,1,"3.0, 0.0, 2.0, 6.0, 5.0, 4.0, 7.0, 8.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,11,8844,1346,1.375,1.8720445062586926
2,Pancake,9,1,"3.0, 0.0, 2.0, 6.0, 5.0, 4.0, 7.0, 8.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,17,297,43,2.125,0.059805285118219746
3,Pancake,9,1,"3.0, 0.0, 2.0, 6.0, 5.0, 4.0, 7.0, 8.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,17,211,30,2.125,0.04172461752433936
4,Pancake,9,1,"3.0, 0.0, 2.0, 6.0, 5.0, 4.0, 7.0, 8.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,17,183,26,2.125,0.03616133518776078
5,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,12,8333,1253,1.0,1.0
6,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,14,2198,327,1.1666666666666667,0.26097366320830007
7,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,17,3256,503,1.4166666666666667,0.4014365522745411
8,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,22,4844,745,1.8333333333333333,0.5945730247406225
9,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,19,5976,938,1.5833333333333333,0.7486033519553073
10,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,20,2601,396,1.6666666666666667,0.3160415003990423
11,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,19,2303,348,1.5833333333333333,0.27773343974461295
12,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,23,2764,424,1.9166666666666667,0.3383878691141261
13,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",9,23,1135,169,1.9166666666666667,0.13487629688747008
14,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",10,23,1007,149,1.9166666666666667,0.1189146049481245
15,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",11,23,1034,153,1.9166666666666667,0.12210694333599362
16,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",12,23,1068,158,1.9166666666666667,0.12609736632083002
17,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",13,23,1081,160,1.9166666666666667,0.12769353551476456
18,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",14,27,1141,169,2.25,0.13487629688747008
19,Pancake,9,2,"6.0, 0.0, 3.0, 2.0, 1.0, 7.0, 5.0, 8.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",15,23,1087,161,1.9166666666666667,0.12849162011173185
20,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,9,1298,190,1.0,1.0
21,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,15,1061,156,1.6666666666666667,0.8210526315789474
22,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,15,211,30,1.6666666666666667,0.15789473684210525
23,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,15,211,30,1.6666666666666667,0.15789473684210525
24,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,15,237,34,1.6666666666666667,0.17894736842105263
25,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,15,256,37,1.6666666666666667,0.19473684210526315
26,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,15,263,38,1.6666666666666667,0.2
27,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,15,284,41,1.6666666666666667,0.21578947368421053
28,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",9,15,319,46,1.6666666666666667,0.24210526315789474
29,Pancake,9,3,"6.0, 1.0, 5.0, 4.0, 0.0, 2.0, 7.0, 8.0, 3.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",10,22,270,39,2.4444444444444446,0.20526315789473684
30,Pancake,9,4,"3.0, 6.0, 0.0, 2.0, 4.0, 5.0, 8.0, 1.0, 7.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,13,25942,4323,1.0,1.0
31,Pancake,9,4,"3.0, 6.0, 0.0, 2.0, 4.0, 5.0, 8.0, 1.0, 7.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,14,5537,847,1.0769230769230769,0.19592875318066158
32,Pancake,9,4,"3.0, 6.0, 0.0, 2.0, 4.0, 5.0, 8.0, 1.0, 7.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,15,5037,782,1.1538461538461537,0.18089289845015036
33,Pancake,9,4,"3.0, 6.0, 0.0, 2.0, 4.0, 5.0, 8.0, 1.0, 7.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,22,2898,446,1.6923076923076923,0.10316909553550775
34,Pancake,9,4,"3.0, 6.0, 0.0, 2.0, 4.0, 5.0, 8.0, 1.0, 7.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,20,2298,352,1.5384615384615385,0.08142493638676845
35,Pancake,9,4,"3.0, 6.0, 0.0, 2.0, 4.0, 5.0, 8.0, 1.0, 7.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,22,1508,232,1.6923076923076923,0.05366643534582466
36,Pancake,9,4,"3.0, 6.0, 0.0, 2.0, 4.0, 5.0, 8.0, 1.0, 7.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,25,795,120,1.9230769230769231,0.027758501040943788
37,Pancake,9,4,"3.0, 6.0, 0.0, 2.0, 4.0, 5.0, 8.0, 1.0, 7.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,25,818,123,1.9230769230769231,0.028452463566967384
38,Pancake,9,5,"5.0, 2.0, 6.0, 8.0, 4.0, 3.0, 0.0, 7.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,11,26375,4384,1.0,1.0
39,Pancake,9,5,"5.0, 2.0, 6.0, 8.0, 4.0, 3.0, 0.0, 7.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,13,2480,371,1.1818181818181819,0.08462591240875912
40,Pancake,9,5,"5.0, 2.0, 6.0, 8.0, 4.0, 3.0, 0.0, 7.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,13,2366,355,1.1818181818181819,0.08097627737226278
41,Pancake,9,5,"5.0, 2.0, 6.0, 8.0, 4.0, 3.0, 0.0, 7.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,20,2006,303,1.8181818181818181,0.06911496350364964
42,Pancake,9,5,"5.0, 2.0, 6.0, 8.0, 4.0, 3.0, 0.0, 7.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,20,1355,204,1.8181818181818181,0.046532846715328466
43,Pancake,9,5,"5.0, 2.0, 6.0, 8.0, 4.0, 3.0, 0.0, 7.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,20,1324,200,1.8181818181818181,0.04562043795620438
44,Pancake,9,5,"5.0, 2.0, 6.0, 8.0, 4.0, 3.0, 0.0, 7.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,23,1249,190,2.090909090909091,0.04333941605839416
45,Pancake,9,5,"5.0, 2.0, 6.0, 8.0, 4.0, 3.0, 0.0, 7.0, 1.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,23,1318,201,2.090909090909091,0.045848540145985404
46,Pancake,9,6,"2.0, 8.0, 6.0, 1.0, 7.0, 0.0, 3.0, 5.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,10,26020,4305,1.0,1.0
47,Pancake,9,6,"2.0, 8.0, 6.0, 1.0, 7.0, 0.0, 3.0, 5.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,15,2857,426,1.5,0.09895470383275261
48,Pancake,9,6,"2.0, 8.0, 6.0, 1.0, 7.0, 0.0, 3.0, 5.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,15,3664,550,1.5,0.12775842044134728
49,Pancake,9,6,"2.0, 8.0, 6.0, 1.0, 7.0, 0.0, 3.0, 5.0, 4.0, ","8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,23,2373,354,2.3,0.08222996515679443
