,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,7,415,87,1.0,1.0
1,Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,7,413,86,1.0,0.9885057471264368
2,Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,8,305,65,1.1428571428571428,0.7471264367816092
3,Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,8,438,94,1.1428571428571428,1.0804597701149425
4,Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,8,419,92,1.1428571428571428,1.0574712643678161
5,Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,19,504,112,2.7142857142857144,1.2873563218390804
6,Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,19,528,117,2.7142857142857144,1.3448275862068966
7,Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,22,484,106,3.142857142857143,1.2183908045977012
8,Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,10,1222,274,1.0,1.0
9,Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,12,460,94,1.2,0.34306569343065696
10,Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,10,90,18,1.0,0.06569343065693431
11,Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,10,61,12,1.0,0.043795620437956206
12,Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,10,56,11,1.0,0.040145985401459854
13,Pancake,7,3,"2.0, 4.0, 0.0, 1.0, 6.0, 3.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,9,1315,299,1.0,1.0
