,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,topSpin,9,1,"0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 6.0, 4.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,4,242,51,1.0,1.0
1,topSpin,9,1,"0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 6.0, 4.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,4,60,8,1.0,0.1568627450980392
2,topSpin,9,1,"0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 6.0, 4.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,4,60,8,1.0,0.1568627450980392
3,topSpin,9,1,"0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 6.0, 4.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,4,47,6,1.0,0.11764705882352941
4,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,13,168956,94265,1.0,1.0
5,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,13,72581,24672,1.0,0.2617302286108312
6,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,13,64875,18302,1.0,0.19415477642815468
7,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,15,58037,13106,1.1538461538461537,0.1390335755582666
8,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,15,32423,6504,1.1538461538461537,0.06899697660849732
9,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,15,15625,2786,1.1538461538461537,0.02955497798758818
10,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",7,15,24825,4648,1.1538461538461537,0.04930780247175516
11,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",8,17,13012,2229,1.3076923076923077,0.02364610406831804
12,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",9,17,8723,1432,1.3076923076923077,0.015191216252055375
13,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",10,17,11950,1940,1.3076923076923077,0.020580279000689546
14,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",11,17,11899,1937,1.3076923076923077,0.020548453826977137
15,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",12,19,12666,2033,1.4615384615384615,0.021566859385774146
16,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",13,19,12666,2033,1.4615384615384615,0.021566859385774146
17,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",14,15,16160,2598,1.1538461538461537,0.02756060043494404
18,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",15,23,15636,2519,1.7692307692307692,0.026722537527184002
19,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",16,23,12346,1952,1.7692307692307692,0.02070757969553917
20,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",17,23,12346,1952,1.7692307692307692,0.02070757969553917
21,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",18,21,9511,1516,1.6153846153846154,0.01608232111600276
22,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",19,21,9511,1516,1.6153846153846154,0.01608232111600276
23,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",20,19,8792,1389,1.4615384615384615,0.014735055428844216
24,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",21,19,8792,1389,1.4615384615384615,0.014735055428844216
25,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",22,19,8452,1335,1.4615384615384615,0.014162202302020898
26,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",23,19,8452,1335,1.4615384615384615,0.014162202302020898
27,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",24,19,8297,1307,1.4615384615384615,0.013865167347371771
28,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",25,19,8297,1307,1.4615384615384615,0.013865167347371771
29,topSpin,9,2,"5.0, 1.0, 8.0, 4.0, 6.0, 0.0, 3.0, 2.0, 7.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",26,19,8284,1305,1.4615384615384615,0.013843950564896833
30,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,10,36616,14520,1.0,1.0
31,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,10,8501,2109,1.0,0.14524793388429752
32,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,10,4281,873,1.0,0.06012396694214876
33,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,10,1346,218,1.0,0.015013774104683195
34,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,10,747,110,1.0,0.007575757575757576
35,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,10,315,45,1.0,0.0030991735537190084
36,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",7,10,315,45,1.0,0.0030991735537190084
37,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",8,10,511,77,1.0,0.005303030303030303
38,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",9,10,511,77,1.0,0.005303030303030303
39,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",10,14,536,82,1.4,0.005647382920110193
40,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",11,14,536,82,1.4,0.005647382920110193
41,topSpin,9,3,"5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 0.0, 7.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",12,14,268,38,1.4,0.0026170798898071624
42,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,14,232003,146790,1.0,1.0
43,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,14,121196,46847,1.0,0.3191429933919204
44,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,14,76859,23853,1.0,0.16249744533006336
45,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,14,31815,6646,1.0,0.04527556373049935
46,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,14,16280,3114,1.0,0.021213979153893316
47,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,14,9150,1583,1.0,0.010784113359220655
48,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",7,14,9366,1615,1.0,0.01100211186048096
49,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",8,14,1887,300,1.0,0.0020437359493153486
50,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",9,14,1887,300,1.0,0.0020437359493153486
51,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",10,14,2043,313,1.0,0.002132297840452347
52,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",11,14,2043,313,1.0,0.002132297840452347
53,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",12,16,2601,405,1.1428571428571428,0.0027590435315757206
54,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",13,16,2601,405,1.1428571428571428,0.0027590435315757206
55,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",14,16,1726,262,1.1428571428571428,0.0017848627290687376
56,topSpin,9,4,"4.0, 5.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 8.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",15,16,1726,262,1.1428571428571428,0.0017848627290687376
