,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,7,130978,33552,1.0,1.0
1,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,7,116168,24774,1.0,0.7383762517882689
2,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,7,100567,19784,1.0,0.5896518836432999
3,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,7,41956,6259,1.0,0.18654625655698617
4,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,7,41656,6211,1.0,0.18511564139246542
5,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,7,63449,10037,1.0,0.29914759179780637
6,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",7,7,45596,6839,1.0,0.20383285646161184
7,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",8,7,35022,4981,1.0,0.14845612780162137
8,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",9,7,35022,4981,1.0,0.14845612780162137
9,topSpin,9,1,"1.0, 3.0, 8.0, 6.0, 4.0, 0.0, 7.0, 5.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",10,7,26036,3598,1.0,0.10723652837386743
