,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,8,2841,1438,1.0,1.0
1,topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,8,1323,417,1.0,0.2899860917941586
2,topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,8,979,269,1.0,0.1870653685674548
3,topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,8,1297,329,1.0,0.22878998609179416
4,topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,10,1496,380,1.25,0.26425591098748263
5,topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,10,733,177,1.25,0.12308762169680111
6,topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",7,10,696,162,1.25,0.11265646731571627
7,topSpin,7,1,"1.0, 3.0, 5.0, 4.0, 6.0, 0.0, 2.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",8,10,367,79,1.25,0.05493741307371349
8,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",1,9,3987,2489,1.0,1.0
9,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",2,9,2277,771,1.0,0.3097629570108477
10,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",3,9,1627,461,1.0,0.18521494576134995
11,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",4,9,783,173,1.0,0.06950582563278425
12,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",5,9,782,172,1.0,0.06910405785456006
13,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",6,11,1036,239,1.2222222222222223,0.09602249899558056
14,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",7,11,856,191,1.2222222222222223,0.07673764564081961
15,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",8,11,791,180,1.2222222222222223,0.07231820008035356
16,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",9,11,791,180,1.2222222222222223,0.07231820008035356
17,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",10,11,759,169,1.2222222222222223,0.0678987545198875
18,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",11,11,759,169,1.2222222222222223,0.0678987545198875
19,topSpin,7,2,"3.0, 5.0, 4.0, 1.0, 0.0, 2.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0",12,11,752,167,1.2222222222222223,0.06709521896343913
